Series Name;Series Code;Country Name;Country Code;2019 [YR2019]
GDP per capita (current US$);NY.GDP.PCAP.CD;Greece;GRC;19143,88762
GDP per capita (current US$);NY.GDP.PCAP.CD;Greenland;GRL;53309,20359
GDP per capita (current US$);NY.GDP.PCAP.CD;Grenada;GRD;9887,920742
GDP per capita (current US$);NY.GDP.PCAP.CD;Guam;GUM;37687,39918
GDP per capita (current US$);NY.GDP.PCAP.CD;Guatemala;GTM;4647,807541
GDP per capita (current US$);NY.GDP.PCAP.CD;Guinea;GIN;1043,899886
GDP per capita (current US$);NY.GDP.PCAP.CD;Guinea-Bissau;GNB;754,3816394
GDP per capita (current US$);NY.GDP.PCAP.CD;Guyana;GUY;6477,296726
GDP per capita (current US$);NY.GDP.PCAP.CD;Haiti;HTI;1345,475055
GDP per capita (current US$);NY.GDP.PCAP.CD;Honduras;HND;2498,509186
GDP per capita (current US$);NY.GDP.PCAP.CD;Hong Kong SAR, China;HKG;48359,0012
GDP per capita (current US$);NY.GDP.PCAP.CD;Hungary;HUN;16786,21364
GDP per capita (current US$);NY.GDP.PCAP.CD;Iceland;ISL;68452,23622
GDP per capita (current US$);NY.GDP.PCAP.CD;India;IND;2050,1638
GDP per capita (current US$);NY.GDP.PCAP.CD;Indonesia;IDN;4151,227554
GDP per capita (current US$);NY.GDP.PCAP.CD;Iran, Islamic Rep.;IRN;3276,753265
GDP per capita (current US$);NY.GDP.PCAP.CD;Iraq;IRQ;5621,181695
GDP per capita (current US$);NY.GDP.PCAP.CD;Ireland;IRL;80848,3019
GDP per capita (current US$);NY.GDP.PCAP.CD;Isle of Man;IMN;87152,46526
GDP per capita (current US$);NY.GDP.PCAP.CD;Israel;ISR;44452,23256
GDP per capita (current US$);NY.GDP.PCAP.CD;Italy;ITA;33673,75096
GDP per capita (current US$);NY.GDP.PCAP.CD;Jamaica;JAM;5626,170459
GDP per capita (current US$);NY.GDP.PCAP.CD;Japan;JPN;40415,95676
GDP per capita (current US$);NY.GDP.PCAP.CD;Jordan;JOR;4159,653754
GDP per capita (current US$);NY.GDP.PCAP.CD;Kazakhstan;KAZ;9812,595526
GDP per capita (current US$);NY.GDP.PCAP.CD;Kenya;KEN;1970,08007
GDP per capita (current US$);NY.GDP.PCAP.CD;Kiribati;KIR;1745,732415
GDP per capita (current US$);NY.GDP.PCAP.CD;Korea, Dem. People's Rep.;PRK;..
GDP per capita (current US$);NY.GDP.PCAP.CD;Korea, Rep.;KOR;31902,4169
GDP per capita (current US$);NY.GDP.PCAP.CD;Kosovo;XKX;4416,029253
GDP per capita (current US$);NY.GDP.PCAP.CD;Kuwait;KWT;31230,17295
GDP per capita (current US$);NY.GDP.PCAP.CD;Kyrgyz Republic;KGZ;1451,515638
GDP per capita (current US$);NY.GDP.PCAP.CD;Lao PDR;LAO;2598,505795
GDP per capita (current US$);NY.GDP.PCAP.CD;Latvia;LVA;17883,34941
GDP per capita (current US$);NY.GDP.PCAP.CD;Lebanon;LBN;8925,42186
GDP per capita (current US$);NY.GDP.PCAP.CD;Lesotho;LSO;1074,134047
GDP per capita (current US$);NY.GDP.PCAP.CD;Liberia;LBR;665,8784476
GDP per capita (current US$);NY.GDP.PCAP.CD;Libya;LBY;10972,90252
GDP per capita (current US$);NY.GDP.PCAP.CD;Liechtenstein;LIE;167259,1603
GDP per capita (current US$);NY.GDP.PCAP.CD;Lithuania;LTU;19615,54915
GDP per capita (current US$);NY.GDP.PCAP.CD;Luxembourg;LUX;112726,4397
GDP per capita (current US$);NY.GDP.PCAP.CD;Macao SAR, China;MAC;82998,6361
GDP per capita (current US$);NY.GDP.PCAP.CD;North Macedonia;MKD;6718,858266
GDP per capita (current US$);NY.GDP.PCAP.CD;Madagascar;MDG;512,2796656
GDP per capita (current US$);NY.GDP.PCAP.CD;Malawi;MWI;587,1154647
GDP per capita (current US$);NY.GDP.PCAP.CD;Malaysia;MYS;11132,10274
GDP per capita (current US$);NY.GDP.PCAP.CD;Maldives;MDV;11349,85927
GDP per capita (current US$);NY.GDP.PCAP.CD;Mali;MLI;840,1757464
GDP per capita (current US$);NY.GDP.PCAP.CD;Malta;MLT;31751,18118
GDP per capita (current US$);NY.GDP.PCAP.CD;Marshall Islands;MHL;5186,833842
GDP per capita (current US$);NY.GDP.PCAP.CD;Mauritania;MRT;1800,875187
GDP per capita (current US$);NY.GDP.PCAP.CD;Mauritius;MUS;11403,25279
GDP per capita (current US$);NY.GDP.PCAP.CD;Mexico;MEX;10434,56762
GDP per capita (current US$);NY.GDP.PCAP.CD;Micronesia, Fed. Sts.;FSM;3537,471157
GDP per capita (current US$);NY.GDP.PCAP.CD;Moldova;MDA;4405,334182
GDP per capita (current US$);NY.GDP.PCAP.CD;Monaco;MCO;199382,8386
GDP per capita (current US$);NY.GDP.PCAP.CD;Mongolia;MNG;4394,94715
GDP per capita (current US$);NY.GDP.PCAP.CD;Montenegro;MNE;8909,653876
GDP per capita (current US$);NY.GDP.PCAP.CD;Morocco;MAR;3498,582764
GDP per capita (current US$);NY.GDP.PCAP.CD;Mozambique;MOZ;512,2157569
GDP per capita (current US$);NY.GDP.PCAP.CD;Myanmar;MMR;1415,248986
GDP per capita (current US$);NY.GDP.PCAP.CD;Namibia;NAM;5126,176143
GDP per capita (current US$);NY.GDP.PCAP.CD;Nauru;NRU;10316,52782
GDP per capita (current US$);NY.GDP.PCAP.CD;Nepal;NPL;1185,682318
GDP per capita (current US$);NY.GDP.PCAP.CD;Netherlands;NLD;52476,27325
GDP per capita (current US$);NY.GDP.PCAP.CD;New Caledonia;NCL;34934,57943
GDP per capita (current US$);NY.GDP.PCAP.CD;New Zealand;NZL;42747,20993
GDP per capita (current US$);NY.GDP.PCAP.CD;Nicaragua;NIC;1905,640917
GDP per capita (current US$);NY.GDP.PCAP.CD;Niger;NER;549,8161278
GDP per capita (current US$);NY.GDP.PCAP.CD;Nigeria;NGA;2334,023642
GDP per capita (current US$);NY.GDP.PCAP.CD;Northern Mariana Islands;MNP;23687,27185
GDP per capita (current US$);NY.GDP.PCAP.CD;Norway;NOR;76430,58895
GDP per capita (current US$);NY.GDP.PCAP.CD;Oman;OMN;19132,15227
GDP per capita (current US$);NY.GDP.PCAP.CD;Pakistan;PAK;1437,165833
GDP per capita (current US$);NY.GDP.PCAP.CD;Palau;PLW;15730,55955
GDP per capita (current US$);NY.GDP.PCAP.CD;Panama;PAN;16472,83175
GDP per capita (current US$);NY.GDP.PCAP.CD;Papua New Guinea;PNG;2593,775554
GDP per capita (current US$);NY.GDP.PCAP.CD;Paraguay;PRY;5807,838794
GDP per capita (current US$);NY.GDP.PCAP.CD;Peru;PER;6956,495749
GDP per capita (current US$);NY.GDP.PCAP.CD;Philippines;PHL;3413,849044
GDP per capita (current US$);NY.GDP.PCAP.CD;Poland;POL;15700,01358
GDP per capita (current US$);NY.GDP.PCAP.CD;Portugal;PRT;23330,81729
GDP per capita (current US$);NY.GDP.PCAP.CD;Puerto Rico;PRI;32916,8668
GDP per capita (current US$);NY.GDP.PCAP.CD;Qatar;QAT;62827,39696
GDP per capita (current US$);NY.GDP.PCAP.CD;Romania;ROU;12957,99911
GDP per capita (current US$);NY.GDP.PCAP.CD;Russian Federation;RUS;11447,70117
GDP per capita (current US$);NY.GDP.PCAP.CD;Rwanda;RWA;806,332472
GDP per capita (current US$);NY.GDP.PCAP.CD;Samoa;WSM;4308,300729
GDP per capita (current US$);NY.GDP.PCAP.CD;San Marino;SMR;47287,39839
GDP per capita (current US$);NY.GDP.PCAP.CD;Sao Tome and Principe;STP;1924,40815
GDP per capita (current US$);NY.GDP.PCAP.CD;Saudi Arabia;SAU;23405,70874
GDP per capita (current US$);NY.GDP.PCAP.CD;Senegal;SEN;1462,678353
GDP per capita (current US$);NY.GDP.PCAP.CD;Serbia;SRB;7417,206608
GDP per capita (current US$);NY.GDP.PCAP.CD;Seychelles;SYC;19141,51187
GDP per capita (current US$);NY.GDP.PCAP.CD;Sierra Leone;SLE;506,6069138
GDP per capita (current US$);NY.GDP.PCAP.CD;Singapore;SGP;66081,71992
GDP per capita (current US$);NY.GDP.PCAP.CD;Sint Maarten (Dutch part);SXM;35509,49473
GDP per capita (current US$);NY.GDP.PCAP.CD;Slovak Republic;SVK;19381,89055
GDP per capita (current US$);NY.GDP.PCAP.CD;Slovenia;SVN;26042,44635
GDP per capita (current US$);NY.GDP.PCAP.CD;Solomon Islands;SLB;2398,77305
GDP per capita (current US$);NY.GDP.PCAP.CD;Somalia;SOM;589,4658919
GDP per capita (current US$);NY.GDP.PCAP.CD;South Africa;ZAF;6702,526617
GDP per capita (current US$);NY.GDP.PCAP.CD;South Sudan;SSD;..
GDP per capita (current US$);NY.GDP.PCAP.CD;Spain;ESP;29581,51855
GDP per capita (current US$);NY.GDP.PCAP.CD;Sri Lanka;LKA;4082,694049
GDP per capita (current US$);NY.GDP.PCAP.CD;St. Kitts and Nevis;KNA;23219,64193
GDP per capita (current US$);NY.GDP.PCAP.CD;St. Lucia;LCA;11714,89755
GDP per capita (current US$);NY.GDP.PCAP.CD;St. Martin (French part);MAF;19691,61671
GDP per capita (current US$);NY.GDP.PCAP.CD;St. Vincent and the Grenadines;VCT;8680,251102
GDP per capita (current US$);NY.GDP.PCAP.CD;Sudan;SDN;748,0109253
GDP per capita (current US$);NY.GDP.PCAP.CD;Suriname;SUR;6690,044786
GDP per capita (current US$);NY.GDP.PCAP.CD;Eswatini;SWZ;3843,380046
GDP per capita (current US$);NY.GDP.PCAP.CD;Sweden;SWE;51939,42974
GDP per capita (current US$);NY.GDP.PCAP.CD;Switzerland;CHE;84121,93103
GDP per capita (current US$);NY.GDP.PCAP.CD;Syrian Arab Republic;SYR;1123,632353
GDP per capita (current US$);NY.GDP.PCAP.CD;Tajikistan;TJK;889,0233407
GDP per capita (current US$);NY.GDP.PCAP.CD;Tanzania;TZA;1050,931763
GDP per capita (current US$);NY.GDP.PCAP.CD;Thailand;THA;7628,576033
GDP per capita (current US$);NY.GDP.PCAP.CD;Timor-Leste;TLS;1583,078603
GDP per capita (current US$);NY.GDP.PCAP.CD;Togo;TGO;848,310125
GDP per capita (current US$);NY.GDP.PCAP.CD;Tonga;TON;4878,978686
GDP per capita (current US$);NY.GDP.PCAP.CD;Trinidad and Tobago;TTO;15642,40672
GDP per capita (current US$);NY.GDP.PCAP.CD;Tunisia;TUN;3477,836181
GDP per capita (current US$);NY.GDP.PCAP.CD;Turkiye;TUR;9215,440875
GDP per capita (current US$);NY.GDP.PCAP.CD;Turkmenistan;TKM;7344,880204
GDP per capita (current US$);NY.GDP.PCAP.CD;Turks and Caicos Islands;TCA;27327,88328
GDP per capita (current US$);NY.GDP.PCAP.CD;Tuvalu;TUV;4940,050983
GDP per capita (current US$);NY.GDP.PCAP.CD;Uganda;UGA;823,0247329
GDP per capita (current US$);NY.GDP.PCAP.CD;Ukraine;UKR;3661,457764
GDP per capita (current US$);NY.GDP.PCAP.CD;United Arab Emirates;ARE;45376,17084
GDP per capita (current US$);NY.GDP.PCAP.CD;United Kingdom;GBR;42662,53537
GDP per capita (current US$);NY.GDP.PCAP.CD;United States;USA;65548,07078
GDP per capita (current US$);NY.GDP.PCAP.CD;Uruguay;URY;18149,05629
GDP per capita (current US$);NY.GDP.PCAP.CD;Uzbekistan;UZB;1795,201768
GDP per capita (current US$);NY.GDP.PCAP.CD;Vanuatu;VUT;3076,589886
GDP per capita (current US$);NY.GDP.PCAP.CD;Venezuela, RB;VEN;..
GDP per capita (current US$);NY.GDP.PCAP.CD;Viet Nam;VNM;3491,09141
GDP per capita (current US$);NY.GDP.PCAP.CD;Virgin Islands (U.S.);VIR;38633,52989
GDP per capita (current US$);NY.GDP.PCAP.CD;West Bank and Gaza;PSE;3656,858271
GDP per capita (current US$);NY.GDP.PCAP.CD;Yemen, Rep.;YEM;693,8165076
GDP per capita (current US$);NY.GDP.PCAP.CD;Zambia;ZMB;1268,120941
GDP per capita (current US$);NY.GDP.PCAP.CD;Zimbabwe;ZWE;1421,868596
